date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:52:38	142236/142236	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jun%202025%2019:34:16%20GMT	https://bracketweb.com/procounsel-html/index.html	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/index.html	(from )
23:52:39	70/70	---M--	200	added ('OK')	text/plain	date:Mon,%2023%20Feb%202026%2020:49:29%20GMT	https://bracketweb.com/robots.txt		(from )
23:52:40	943/943	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Mar%202025%2021:13:18%20GMT	https://bracketweb.com/procounsel-html/assets/images/favicons/favicon-32x32.png	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/assets/images/favicons/favicon-32x32.png	(from https://bracketweb.com/procounsel-html/index.html)
23:52:40	493/493	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Mar%202025%2021:13:18%20GMT	https://bracketweb.com/procounsel-html/assets/images/favicons/favicon-16x16.png	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/assets/images/favicons/favicon-16x16.png	(from https://bracketweb.com/procounsel-html/index.html)
23:52:40	263/263	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2024%20Mar%202025%2021:13:18%20GMT	https://bracketweb.com/procounsel-html/assets/images/favicons/site.webmanifest	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/assets/images/favicons/site.webmanifest	(from https://bracketweb.com/procounsel-html/index.html)
23:52:41	12392/12392	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Mar%202025%2021:13:18%20GMT	https://bracketweb.com/procounsel-html/assets/images/favicons/apple-touch-icon.png	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/assets/images/favicons/apple-touch-icon.png	(from https://bracketweb.com/procounsel-html/index.html)
23:52:41	232919/232919	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Mar%202025%2021:13:18%20GMT	https://bracketweb.com/procounsel-html/assets/vendors/bootstrap/css/bootstrap.min.css	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/assets/vendors/bootstrap/css/bootstrap.min.css	(from https://bracketweb.com/procounsel-html/index.html)
23:52:42	87493/87493	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Mar%202025%2021:13:18%20GMT	https://bracketweb.com/procounsel-html/assets/vendors/animate/animate.min.css	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/assets/vendors/animate/animate.min.css	(from https://bracketweb.com/procounsel-html/index.html)
23:52:42	11832/11832	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Mar%202025%2021:13:18%20GMT	https://bracketweb.com/procounsel-html/assets/vendors/bootstrap-select/bootstrap-select.min.css	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/assets/vendors/bootstrap-select/bootstrap-select.min.css	(from https://bracketweb.com/procounsel-html/index.html)
23:52:43	59348/59348	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Mar%202025%2021:13:18%20GMT	https://bracketweb.com/procounsel-html/assets/vendors/fontawesome/css/all.min.css	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/assets/vendors/fontawesome/css/all.min.css	(from https://bracketweb.com/procounsel-html/index.html)
23:52:43	34763/34763	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Mar%202025%2021:13:18%20GMT	https://bracketweb.com/procounsel-html/assets/vendors/jquery-ui/jquery-ui.css	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/assets/vendors/jquery-ui/jquery-ui.css	(from https://bracketweb.com/procounsel-html/index.html)
23:52:43	335/335	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Mar%202025%2021:13:18%20GMT	https://bracketweb.com/procounsel-html/assets/vendors/jarallax/jarallax.css	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/assets/vendors/jarallax/jarallax.css	(from https://bracketweb.com/procounsel-html/index.html)
23:52:43	7302/7302	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Mar%202025%2021:13:18%20GMT	https://bracketweb.com/procounsel-html/assets/vendors/jquery-magnific-popup/jquery.magnific-popup.css	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/assets/vendors/jquery-magnific-popup/jquery.magnific-popup.css	(from https://bracketweb.com/procounsel-html/index.html)
23:52:44	5151/5151	---M-Z	200	added ('OK')	text/css	date:Tue,%2003%20Jun%202025%2017:53:46%20GMT	https://bracketweb.com/procounsel-html/assets/vendors/nouislider/nouislider.min.css	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/assets/vendors/nouislider/nouislider.min.css	(from https://bracketweb.com/procounsel-html/index.html)
23:52:44	1421/1421	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Mar%202025%2021:13:18%20GMT	https://bracketweb.com/procounsel-html/assets/vendors/nouislider/nouislider.pips.css	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/assets/vendors/nouislider/nouislider.pips.css	(from https://bracketweb.com/procounsel-html/index.html)
23:52:44	2181/2181	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Mar%202025%2021:13:18%20GMT	https://bracketweb.com/procounsel-html/assets/vendors/tiny-slider/tiny-slider.css	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/assets/vendors/tiny-slider/tiny-slider.css	(from https://bracketweb.com/procounsel-html/index.html)
23:52:44	11712/11712	---M-Z	200	added ('OK')	text/css	date:Tue,%2003%20Jun%202025%2017:53:46%20GMT	https://bracketweb.com/procounsel-html/assets/vendors/procounsel-icons/style.css	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/assets/vendors/procounsel-icons/style.css	(from https://bracketweb.com/procounsel-html/index.html)
23:52:45	1895/1895	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Mar%202025%2021:13:18%20GMT	https://bracketweb.com/procounsel-html/assets/vendors/slick/slick.css	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/assets/vendors/slick/slick.css	(from https://bracketweb.com/procounsel-html/index.html)
23:52:45	3356/3356	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Mar%202025%2021:13:18%20GMT	https://bracketweb.com/procounsel-html/assets/vendors/owl-carousel/css/owl.carousel.min.css	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/assets/vendors/owl-carousel/css/owl.carousel.min.css	(from https://bracketweb.com/procounsel-html/index.html)
23:52:45	1018/1018	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Mar%202025%2021:13:18%20GMT	https://bracketweb.com/procounsel-html/assets/vendors/owl-carousel/css/owl.theme.default.min.css	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/assets/vendors/owl-carousel/css/owl.theme.default.min.css	(from https://bracketweb.com/procounsel-html/index.html)
23:52:47	10312/10312	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Mar%202025%2021:13:18%20GMT	https://bracketweb.com/procounsel-html/assets/images/loader.png	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/assets/images/loader.png	(from https://bracketweb.com/procounsel-html/index.html)
23:52:47	7392/7392	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Mar%202025%2021:13:18%20GMT	https://bracketweb.com/procounsel-html/assets/images/logo-light.png	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/assets/images/logo-light.png	(from https://bracketweb.com/procounsel-html/index.html)
23:52:48	470070/470070	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Jun%202025%2019:34:16%20GMT	https://bracketweb.com/procounsel-html/assets/css/procounsel.css	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/assets/css/procounsel.css	(from https://bracketweb.com/procounsel-html/index.html)
23:52:49	166843/166843	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Jun%202025%2017:53:46%20GMT	https://bracketweb.com/procounsel-html/assets/images/procounsel-landing/home-1.jpg	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/assets/images/procounsel-landing/home-1.jpg	(from https://bracketweb.com/procounsel-html/index.html)
23:52:49	135870/135870	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jun%202025%2019:34:16%20GMT	https://bracketweb.com/procounsel-html/index-one-page.html	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/index-one-page.html	(from https://bracketweb.com/procounsel-html/index.html)
23:52:49	144603/144603	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jun%202025%2019:34:16%20GMT	https://bracketweb.com/procounsel-html/index-2.html	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/index-2.html	(from https://bracketweb.com/procounsel-html/index.html)
23:52:50	137819/137819	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jun%202025%2019:34:16%20GMT	https://bracketweb.com/procounsel-html/index-2-one-page.html	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/index-2-one-page.html	(from https://bracketweb.com/procounsel-html/index.html)
23:52:50	133611/133611	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jun%202025%2019:34:16%20GMT	https://bracketweb.com/procounsel-html/index-3.html	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/index-3.html	(from https://bracketweb.com/procounsel-html/index.html)
23:52:51	124894/124894	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Jun%202025%2017:53:46%20GMT	https://bracketweb.com/procounsel-html/assets/images/procounsel-landing/home-2.jpg	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/assets/images/procounsel-landing/home-2.jpg	(from https://bracketweb.com/procounsel-html/index.html)
23:52:51	126433/126433	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jun%202025%2019:34:16%20GMT	https://bracketweb.com/procounsel-html/index-3-one-page.html	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/index-3-one-page.html	(from https://bracketweb.com/procounsel-html/index.html)
23:52:52	132526/132526	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jun%202025%2019:34:16%20GMT	https://bracketweb.com/procounsel-html/index-4.html	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/index-4.html	(from https://bracketweb.com/procounsel-html/index.html)
23:52:53	126128/126128	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jun%202025%2019:34:16%20GMT	https://bracketweb.com/procounsel-html/index-4-one-page.html	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/index-4-one-page.html	(from https://bracketweb.com/procounsel-html/index.html)
23:52:54	126601/126601	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jun%202025%2019:34:16%20GMT	https://bracketweb.com/procounsel-html/index-5.html	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/index-5.html	(from https://bracketweb.com/procounsel-html/index.html)
23:52:55	145888/145888	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Jun%202025%2017:53:46%20GMT	https://bracketweb.com/procounsel-html/assets/images/procounsel-landing/home-4.jpg	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/assets/images/procounsel-landing/home-4.jpg	(from https://bracketweb.com/procounsel-html/index.html)
23:52:55	178304/178304	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Jun%202025%2017:53:46%20GMT	https://bracketweb.com/procounsel-html/assets/images/procounsel-landing/home-5.jpg	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/assets/images/procounsel-landing/home-5.jpg	(from https://bracketweb.com/procounsel-html/index.html)
23:52:56	119807/119807	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jun%202025%2019:34:16%20GMT	https://bracketweb.com/procounsel-html/index-5-one-page.html	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/index-5-one-page.html	(from https://bracketweb.com/procounsel-html/index.html)
23:52:56	142339/142339	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jun%202025%2019:34:16%20GMT	https://bracketweb.com/procounsel-html/index-dark.html	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/index-dark.html	(from https://bracketweb.com/procounsel-html/index.html)
23:52:57	142294/142294	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jun%202025%2019:34:16%20GMT	https://bracketweb.com/procounsel-html/index-boxed.html	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/index-boxed.html	(from https://bracketweb.com/procounsel-html/index.html)
23:52:58	148337/148337	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Jun%202025%2017:53:46%20GMT	https://bracketweb.com/procounsel-html/assets/images/procounsel-landing/home-3.jpg	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/assets/images/procounsel-landing/home-3.jpg	(from https://bracketweb.com/procounsel-html/index.html)
23:53:00	142677/142677	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jun%202025%2019:34:16%20GMT	https://bracketweb.com/procounsel-html/index-rtl.html	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/index-rtl.html	(from https://bracketweb.com/procounsel-html/index.html)
23:53:00	110833/110833	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Jun%202025%2017:53:46%20GMT	https://bracketweb.com/procounsel-html/assets/images/procounsel-landing/home-rtl.jpg	C:/Users/hp/Downloads/alos_main/bracketweb.com/procounsel-html/assets/images/procounsel-landing/home-rtl.jpg	(from https://bracketweb.com/procounsel-html/index.html)
